team_id,team
0,Royal Challengers Bangalore
1,Kolkata Knight Riders
2,Kings XI Punjab
3,Chennai Super Kings
4,Delhi Daredevils
5,Rajasthan Royals
6,Mumbai Indians
7,Deccan Chargers
8,Kochi Tuskers Kerala
9,Pune Warriors
10,Sunrisers Hyderabad
11,Rising Pune Supergiants
12,Gujarat Lions
13,Rising Pune Supergiant
14,Delhi Capitals
15,Punjab Kings
16,Lucknow Super Giants
17,Gujarat Titans
18,Royal Challengers Bengaluru
